Timestamp,Session ID,Filename,Filesize (Bytes),Request Type,Model Used,Input Tokens,Output Tokens,Grounded Searches Performed,Token Cost USD,Fixed Cost USD,Total Estimated Cost USD
2025-05-15T11:11:32.966117+00:00,5186f905-4d70-428c-b1af-6ad05ca03ccc,SDIA 066400 Plastic Paneling.pdf,121449,standard_llm_extraction,gemini-2.5-flash-preview-04-17,4155,1395,0,0.00137055,0.00000000,0.00137055
2025-05-15T11:11:57.619146+00:00,5186f905-4d70-428c-b1af-6ad05ca03ccc,pds_extraction_for_Trim Accessories,0,grounded_search_llm,gemini-2.0-flash,1496,6,1,0.00015200,0.03500000,0.03515200
2025-05-15T11:12:33.005306+00:00,5186f905-4d70-428c-b1af-6ad05ca03ccc,pds_extraction_for_Trim Accessories,0,grounded_search_llm,gemini-2.0-flash,1496,1011,1,0.00055400,0.03500000,0.03555400
2025-05-15T11:14:34.278796+00:00,5186f905-4d70-428c-b1af-6ad05ca03ccc,d9e57a973ee29e23746270ae86d3ae9b.pdf,1813538,standard_llm_validation,gemini-2.0-flash,3561,183,0,0.00042930,0.00000000,0.00042930
2025-05-15T11:19:42.332450+00:00,5186f905-4d70-428c-b1af-6ad05ca03ccc,pds_extraction_for_Sealant,0,grounded_search_llm,gemini-2.0-flash,1736,1244,1,0.00067120,0.03500000,0.03567120
2025-05-15T11:20:36.880252+00:00,5186f905-4d70-428c-b1af-6ad05ca03ccc,af97dc13d7e0ef5950d1a2c3c5523286.pdf,9124714,standard_llm_validation,gemini-2.0-flash,2240,187,0,0.00029880,0.00000000,0.00029880
2025-05-15T11:21:48.423541+00:00,5186f905-4d70-428c-b1af-6ad05ca03ccc,pds_extraction_for_Glass-Fiber-Reinforced Plastic Paneling (FRP),0,grounded_search_llm,gemini-2.0-flash,1781,1846,1,0.00091650,0.03500000,0.03591650
2025-05-15T11:22:11.759817+00:00,5186f905-4d70-428c-b1af-6ad05ca03ccc,b5ae07a3f4f75845bd1e5544a46968a6.pdf,209893,standard_llm_validation,gemini-2.0-flash,2773,233,0,0.00037050,0.00000000,0.00037050
2025-05-15T11:53:01.457668+00:00,b35c1b76-b7c1-45b7-bedb-668b09c57822,SDIA 072616 Under Slab On Grade Vapor Retarder.pdf,159248,standard_llm_extraction,gemini-2.5-flash-preview-04-17,3782,1120,0,0.00115605,0.00000000,0.00115605
2025-05-15T11:53:45.948748+00:00,b35c1b76-b7c1-45b7-bedb-668b09c57822,pds_extraction_for_Vapor Proofing Mastic,0,grounded_search_llm,gemini-2.0-flash,2938,1518,1,0.00090100,0.03500000,0.03590100
2025-05-15T11:54:21.084759+00:00,b35c1b76-b7c1-45b7-bedb-668b09c57822,6a399399413dddf6d9f770451380f9b6.pdf,282508,standard_llm_validation,gemini-2.0-flash,2379,180,0,0.00030990,0.00000000,0.00030990
2025-05-15T14:12:57.409421+00:00,b23a30e7-aa75-40d2-8265-14535c9640b7,Canyon Hills 093013 Ceramic Tiling.pdf,1251955,standard_llm_extraction,gemini-2.5-flash-preview-04-17,8784,16190,0,0.01094565,0.00000000,0.01094565
2025-05-15T14:15:42.870631+00:00,b23a30e7-aa75-40d2-8265-14535c9640b7,pds_extraction_for_Ceramic Glazed Wall Tile Type CT-1,0,grounded_search_llm,gemini-2.0-flash,5054,1133,1,0.00095860,0.03500000,0.03595860
2025-05-15T14:22:32.867459+00:00,b23a30e7-aa75-40d2-8265-14535c9640b7,pds_extraction_for_Ceramic Glazed Wall Tile Type CT-1,0,grounded_search_llm,gemini-2.0-flash,5054,1613,1,0.00115060,0.03500000,0.03615060
2025-05-15T14:29:30.475208+00:00,b23a30e7-aa75-40d2-8265-14535c9640b7,pds_extraction_for_Tile Cleaner,0,grounded_search_llm,gemini-2.0-flash,4627,3208,1,0.00174590,0.03500000,0.03674590
2025-05-15T14:59:09.763527+00:00,fc28c00b-da13-485c-9619-e3b43d44ff44,SDIA 066400 Plastic Paneling.pdf,121449,standard_llm_extraction,gemini-2.5-flash-preview-04-17,4155,1549,0,0.00146295,0.00000000,0.00146295
2025-05-15T15:13:55.107781+00:00,2751d6a3-5cd3-4700-beae-4e92671fad44,SDIA 096623 Resinous Matrix Terrazzo Flooring.pdf,366090,standard_llm_extraction,gemini-2.5-flash-preview-04-17,6789,6889,0,0.00506865,0.00000000,0.00506865
2025-05-15T15:17:35.072098+00:00,6c7a5eb3-d07b-46bc-90c7-6f1bfa7a0d68,SDIA 072616 Under Slab On Grade Vapor Retarder.pdf,159248,standard_llm_extraction,gemini-2.5-flash-preview-04-17,3782,1148,0,0.00117285,0.00000000,0.00117285
2025-05-15T15:18:44.552793+00:00,6c7a5eb3-d07b-46bc-90c7-6f1bfa7a0d68,pds_extraction_for_Sheet Vapor Retarder,0,grounded_search_llm,gemini-2.0-flash,5383,1896,1,0.00129670,0.03500000,0.03629670
2025-05-15T15:19:11.962674+00:00,6c7a5eb3-d07b-46bc-90c7-6f1bfa7a0d68,pds_extraction_for_Sheet Vapor Retarder,0,grounded_search_llm,gemini-2.0-flash,1742,781,1,0.00048660,0.03500000,0.03548660
2025-05-26T09:22:40.182147+00:00,b7815ff4-8736-4473-9a42-3442c169428e,SDIA 072616 Under Slab On Grade Vapor Retarder.pdf,159248,standard_llm_extraction,gemini-2.5-flash-preview-04-17,3782,1204,0,0.00120645,0.00000000,0.00120645
2025-05-26T09:23:30.788890+00:00,b7815ff4-8736-4473-9a42-3442c169428e,pds_extraction_for_Vapor Proofing Mastic,0,grounded_search_llm,gemini-2.0-flash,3022,1267,1,0.00080900,0.03500000,0.03580900
2025-05-26T09:37:16.845552+00:00,b7815ff4-8736-4473-9a42-3442c169428e,7e920093414f477beeb3f69602320f36.pdf,288719,standard_llm_validation,gemini-2.0-flash,2316,221,0,0.00032000,0.00000000,0.00032000
2025-05-26T09:40:47.934098+00:00,ee4ad3d5-ecf4-4816-a480-297c3ee697e4,SDIA 066400 Plastic Paneling.pdf,121449,standard_llm_extraction,gemini-2.5-flash-preview-04-17,4155,1428,0,0.00139035,0.00000000,0.00139035
2025-05-26T09:41:44.455492+00:00,ee4ad3d5-ecf4-4816-a480-297c3ee697e4,pds_extraction_for_Glass-Fiber-Reinforced Plastic Paneling,0,grounded_search_llm,gemini-2.0-flash,1944,1078,1,0.00062560,0.03500000,0.03562560
2025-05-26T09:42:22.366733+00:00,ee4ad3d5-ecf4-4816-a480-297c3ee697e4,d190ec5d01aa7754872c28a036e867d3.pdf,213415,standard_llm_validation,gemini-2.0-flash,2824,379,0,0.00043400,0.00000000,0.00043400
2025-05-26T09:49:31.589815+00:00,ee4ad3d5-ecf4-4816-a480-297c3ee697e4,pds_extraction_for_Glass-Fiber-Reinforced Plastic Paneling,0,grounded_search_llm,gemini-2.0-flash,1944,1222,1,0.00068320,0.03500000,0.03568320
2025-05-26T09:50:27.347387+00:00,ee4ad3d5-ecf4-4816-a480-297c3ee697e4,75037b255366c4ac07bb79505fe4dcfb.pdf,2889389,standard_llm_validation,gemini-2.0-flash,2622,372,0,0.00041100,0.00000000,0.00041100
2025-05-26T09:54:11.263346+00:00,ee4ad3d5-ecf4-4816-a480-297c3ee697e4,75037b255366c4ac07bb79505fe4dcfb.pdf,2889389,standard_llm_validation,gemini-2.0-flash,2622,391,0,0.00041860,0.00000000,0.00041860
2025-05-26T09:59:59.345119+00:00,ee4ad3d5-ecf4-4816-a480-297c3ee697e4,150d833cc6cd12e8b82d16c436f16f59.pdf,209893,standard_llm_validation,gemini-2.0-flash,2965,392,0,0.00045330,0.00000000,0.00045330
2025-05-26T11:05:27.283557+00:00,edcb7e66-616e-4394-86f5-4be0e7876c52,SDIA 072616 Under Slab On Grade Vapor Retarder.pdf,159248,standard_llm_extraction,gemini-2.5-flash-preview-04-17,3782,1205,0,0.00120705,0.00000000,0.00120705
2025-05-26T11:07:05.508010+00:00,edcb7e66-616e-4394-86f5-4be0e7876c52,pds_extraction_for_Vapor Proofing Mastic,0,grounded_search_llm,gemini-2.0-flash,4540,1361,1,0.00099840,0.03500000,0.03599840
2025-05-26T11:08:21.828327+00:00,edcb7e66-616e-4394-86f5-4be0e7876c52,pds_extraction_for_Vapor Proofing Mastic,0,grounded_search_llm,gemini-2.0-flash,2998,1832,1,0.00103260,0.03500000,0.03603260
2025-05-26T11:22:52.103068+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,SDIA 066400 Plastic Paneling.pdf,121449,standard_llm_extraction,gemini-2.5-flash-preview-04-17,4155,1526,0,0.00144915,0.00000000,0.00144915
2025-05-26T11:23:29.325935+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,pds_extraction_for_Glass-Fiber-Reinforced Plastic Paneling,0,grounded_search_llm,gemini-2.0-flash,1840,914,1,0.00054960,0.03500000,0.03554960
2025-05-26T11:23:51.116971+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,c1dbb1b4ceb6ee859bc871e5356b430b.pdf,120582,standard_llm_validation,gemini-2.0-flash,3214,395,0,0.00047940,0.00000000,0.00047940
2025-05-26T11:24:55.634827+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,Enduro_FRP_Baffle_Walls.pdf,120582,pdf_validation_with_report,gemini-2.0-flash,3214,389,0,0.00047700,0.00000000,0.00047700
2025-05-26T11:25:05.174727+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,Enduro_FRP_Baffle_Walls.pdf,120582,pdf_validation_with_report,gemini-2.0-flash,3214,386,0,0.00047580,0.00000000,0.00047580
2025-05-26T11:34:17.878387+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,pds_extraction_for_Trim Accessories,0,grounded_search_llm,gemini-2.0-flash,4522,1455,1,0.00103420,0.03500000,0.03603420
2025-05-26T11:34:57.802304+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,pds_extraction_for_Trim Accessories,0,grounded_search_llm,gemini-2.0-flash,1455,998,1,0.00054470,0.03500000,0.03554470
2025-05-26T11:35:54.217752+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,3d24c08f533e4ed02c4c60c5ed7a170c.pdf,9124711,standard_llm_validation,gemini-2.0-flash,2439,256,0,0.00034630,0.00000000,0.00034630
2025-05-26T11:55:28.469951+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,pds_extraction_for_Glass-Fiber-Reinforced Plastic Paneling,0,grounded_search_llm,gemini-2.0-flash,743,4477,1,0.00186510,0.03500000,0.03686510
2025-05-26T12:00:40.180727+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,pds_extraction_for_Glass-Fiber-Reinforced Plastic Paneling,0,grounded_search_llm,gemini-2.0-flash,743,4879,1,0.00202590,0.03500000,0.03702590
2025-05-26T12:06:14.726531+00:00,eef9e6ef-b4ab-43d2-94b2-b109c0ba7070,pds_extraction_for_Glass-Fiber-Reinforced Plastic Paneling,0,grounded_search_llm,gemini-2.0-flash,743,4827,1,0.00200510,0.03500000,0.03700510
